ID,Attributes
crop_0,"sofa, (957.5, 323.5, 159.0, 239.0)"
crop_1,"10, (641.5, 221.0, 101.0, 28.0)"
crop_2,"kitchen, (558.5, 504.0, 63.0, 288.0)"
crop_3,"kitchen-table, (772.5, 481.5, 151.0, 185.0)"
crop_4,"inner-door, (950.5, 739.0, 101.0, 92.0)"
crop_5,"10, (610.5, 767.5, 99.0, 27.0)"
crop_6,"10, (649.5, 557.5, 105.0, 27.0)"
crop_7,"inner-door, (787.5, 638.0, 99.0, 96.0)"
crop_8,"10, (788.5, 755.5, 93.0, 27.0)"
crop_9,"bath, (1090.5, 635.5, 181.0, 67.0)"
crop_10,"10, (1061.0, 511.5, 108.0, 31.0)"
crop_11,"10, (1062.5, 732.5, 95.0, 27.0)"
crop_12,"inner-door, (469.0, 755.0, 114.0, 100.0)"
crop_13,"window, (701.5, 157.5, 209.0, 31.0)"
crop_14,"sink, (1162.0, 700.0, 40.0, 58.0)"
crop_15,"sink, (1151.5, 770.0, 61.0, 40.0)"
crop_16,"window, (1022.0, 160.5, 202.0, 25.0)"
crop_17,"toilet, (1151.5, 770.5, 61.0, 39.0)"
crop_18,"10, (637.5, 251.5, 95.0, 27.0)"
crop_19,"inner-door, (922.5, 637.0, 97.0, 94.0)"
crop_20,"washing-machine, (1151.0, 770.0, 62.0, 40.0)"
crop_21,"10, (1098.0, 444.5, 166.0, 45.0)"
crop_22,"window, (664.5, 283.0, 131.0, 16.0)"
