ID,Attributes
crop_0,"sofa, (295.5, 728.0, 149.0, 232.0)"
crop_1,"bed, (1091.0, 723.5, 200.0, 181.0)"
crop_2,"inner-door, (941.0, 518.5, 82.0, 79.0)"
crop_3,"kitchen-table, (649.0, 659.5, 142.0, 181.0)"
crop_4,"10, (1047.0, 542.5, 106.0, 31.0)"
crop_5,"inner-door, (961.5, 367.5, 91.0, 79.0)"
crop_6,"inner-door, (626.0, 518.5, 90.0, 81.0)"
crop_7,"inner-door, (502.0, 509.0, 58.0, 62.0)"
crop_8,"10, (743.5, 543.5, 103.0, 29.0)"
crop_9,"inner-door, (443.0, 510.0, 60.0, 58.0)"
crop_10,"10, (539.0, 407.5, 108.0, 29.0)"
crop_11,"10, (305.5, 562.5, 105.0, 31.0)"
crop_12,"10, (1076.0, 315.5, 102.0, 31.0)"
crop_13,"inner-door, (764.0, 817.5, 74.0, 43.0)"
crop_14,"10, (447.0, 876.0, 202.0, 50.0)"
crop_15,"kitchen, (842.5, 665.5, 59.0, 249.0)"
crop_16,"window, (661.5, 800.0, 133.0, 24.0)"
crop_17,"bath, (1149.5, 200.5, 77.0, 163.0)"
crop_18,"window, (702.0, 935.0, 218.0, 32.0)"
crop_19,"10, (726.0, 875.5, 168.0, 33.0)"
crop_20,"washing-machine, (1162.0, 386.5, 60.0, 43.0)"
