Unique ID,Image Path,Area,Coordinates,Crop Area,Status
0,80_1600.png,5.9,"(822.0, 304.5, 68.0, 17.0)",1794,good
1,80_1600.png,6.45,"(744.5, 454.0, 67.0, 18.0)",1848,good
2,80_1600.png,84.09,"(835.5, 586.5, 111.0, 29.0)",4235,max
3,80_1600.png,17.36,"(845.0, 647.0, 68.0, 18.0)",1872,good
4,80_1600.png,4.41,"(600.5, 547.0, 65.0, 18.0)",1800,good
5,80_1600.png,7.0,"(854.5, 452.5, 59.0, 19.0)",1725,good
6,80_1600.png,15.8,"(815.0, 852.0, 62.0, 18.0)",1728,good
7,80_1600.png,15.0,"(586.0, 250.5, 74.0, 19.0)",2100,good
8,80_1600.png,23.0,"(817.5, 833.0, 67.0, 18.0)",1848,good
9,80_1600.png,15.9,"(680.0, 706.0, 66.0, 16.0)",1672,good
10,80_1600.png,4.36,"(594.0, 424.0, 60.0, 16.0)",1540,good
Total Good Area,115.18
Max Area,84.09
